Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID
20659868,Aura Pizzas,Sector 4,Delhi NCR,6268464060,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,6km,1 x Jamaican Chicken Melt,,50% off upto Rs.100,479.0,18.95,100.0,0.0,0.0,0.0,397.95,,,,,,22.08,18.7,Correctly,,e72d914f4d8903143a799e70df598cecdbd01f5898dba3f57535d295255e296b
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6453316237,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,7km,"1 x Makhani Paneer Pizza, 1 x Cheesy Garlic Bread",Order: Make it less spicy,Flat 15% off,988.0,42.73,133.38,0.0,0.0,0.0,897.35,,,,,,16.13,1.1,Correctly,,135d566673e9ac21ce0522cc067a66a0685be8dfd2035e39fc209d803fa61699
20554001,Swaad,Greater Kailash 2 (GK2),Delhi NCR,6429236324,"08:00 AM, September 12 2024",Delivered,Zomato Delivery,9km,"1 x Bone in Peri Peri Grilled Chicken, 1 x Grilled Chicken Smoky BBQ Tangdi",,Flat 15% off,715.0,30.92,96.53,0.0,0.0,0.0,649.39,,,,,,23.03,2.9,Correctly,,286a846497cc0de69b6381827e0f695af1979ba06b53856ba912fc011674fb07
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6483738635,"08:01 AM, September 12 2024",Delivered,Zomato Delivery,4km,"1 x Indian Masala Cripser Fries, 1 x Mushroom Pizza, 1 x Chilli Cheese Garlic Bread",,Flat Rs.300 off,1067.0,38.35,300.0,0.0,0.0,0.0,805.35,,,,,,16.53,2.2,Correctly,,60567b1630728fe72f0f4675075ddeb2fccac03d52ddb4e448db795dde5786a0
20882713,Swaad,DLF Phase 1,Delhi NCR,6493523393,"08:01 AM, September 12 2024",Delivered,Zomato Delivery,4km,1 x Grilled Chicken Peri Peri Boneless Breast,,,505.0,25.25,0.0,0.0,0.0,0.0,530.25,,,,,,11.38,4.1,Correctly,,6f116ac3082af9279c9f661d739c684e6cbf936f64055ec9fd11bf483a3f5b08
20882652,Aura Pizzas,DLF Phase 1,Delhi NCR,6379533675,"08:02 AM, September 12 2024",Delivered,Zomato Delivery,3km,2 x Jamaican Chicken Melt,,Buy 1 Get 1 - ₹479.00,479.0,23.95,0.0,0.0,0.0,0.0,502.95,,,,,,15.5,2.6,Correctly,Non-refunded complaint,ea68e139ba16ac3a9dc2fc3022f2316fb1bc53a38b994d3ae66beb575d91351c
20635699,Aura Pizzas,Greater Kailash 2 (GK2),Delhi NCR,6395196976,"08:04 AM, September 12 2024",Delivered,Zomato Delivery,7km,1 x Jamaican Chicken Melt,,,479.0,23.95,0.0,0.0,0.0,0.0,502.95,5.0,,,,,16.5,8.6,Correctly,,6e8dad3a38eb1a64610c24dd53e57556bd7fa4ffba19517b4c3914ae23438bab
21077127,Aura Pizzas,Sector 135,Delhi NCR,6213936069,"08:04 AM, September 12 2024",Delivered,Zomato Delivery,6km,"2 x Bageecha Pizza, 2 x Chilli Cheese Garlic Bread",,Flat Rs.200 off,1716.0,75.8,200.0,0.0,0.0,0.0,1591.8,,,,,,18.03,5.2,Correctly,,3f2d2719c2da89e43b2f88dea980085233982b7778eaae19cc812add89bdc0af
20659868,Aura Pizzas,Sector 4,Delhi NCR,6489425980,"08:05 AM, September 12 2024",Delivered,Zomato Delivery,2km,1 x Cheesy Garlic Bread,,,298.0,14.9,0.0,0.0,0.0,0.0,312.9,,,,,,14.22,12.0,Incorrectly,,97e6812c7ebfbb5f05efe48d78abe0fd07f575f405a289d3541aa9d81417ba92
21173951,Aura Pizzas,Vasant Kunj,Delhi NCR,6310284440,"08:05 AM, September 12 2024",Delivered,Zomato Delivery,1km,"1 x Bageecha Pizza, 1 x Fried Chicken Strips, 1 x Salted Crisper Fries, 1 x Herbed Potato, 1 x All About Chicken Pizza",,Flat Rs.200 off,2234.0,102.7,180.0,0.0,0.0,0.0,2156.7,,,,,,27.48,12.8,Incorrectly,,e8e5860d2fb3f512580b8452a72f8b6b8d5ea01b88b03de449159c3df7cafc8d
